Iteration,Puzzle,Size,Algorithm,Random Seed,Start Time,End Time,Elapsed Time,Elapsed Milliseconds
1,Binary,8x8,Breadth-First Search v.2,163,20/01/2023 21:19:21,20/01/2023 21:19:32,00:00:11.0651176,11065.1176
2,Binary,8x8,Breadth-First Search v.2,163,20/01/2023 21:19:32,20/01/2023 21:19:32,00:00:00.0598611,59.8611
3,Binary,8x8,Breadth-First Search v.2,163,20/01/2023 21:19:32,20/01/2023 21:19:37,00:00:04.7850203,4785.0203
4,Binary,8x8,Breadth-First Search v.2,163,20/01/2023 21:19:37,20/01/2023 21:19:37,00:00:00.0653292,65.3292
5,Binary,8x8,Breadth-First Search v.2,163,20/01/2023 21:19:37,20/01/2023 21:19:38,00:00:01.6576337,1657.6337
6,Binary,8x8,Breadth-First Search v.2,163,20/01/2023 21:19:38,20/01/2023 21:19:38,00:00:00.0528301,52.8301
7,Binary,8x8,Breadth-First Search v.2,163,20/01/2023 21:19:38,20/01/2023 21:19:52,00:00:13.9529801,13952.9801
8,Binary,8x8,Breadth-First Search v.2,163,20/01/2023 21:19:52,20/01/2023 21:19:52,00:00:00.0619028,61.9028
9,Binary,8x8,Breadth-First Search v.2,163,20/01/2023 21:19:52,20/01/2023 21:19:54,00:00:01.4759638,1475.9638
10,Binary,8x8,Breadth-First Search v.2,163,20/01/2023 21:19:54,20/01/2023 21:19:54,00:00:00.4119362,411.9362
